Table,Mentor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,FirstName,MiddleName,LastName,PreferredName,Gender,WorkPhone,WorkTelephoneExtention,MobilePhone,PermanentStreetAddress,PermanentCity,PermanentState,PermanentCountry,PermanentZipCode,IsMentor,IsMentee,IsAdmin,IsSponsor,Major,Minor,Concentrations,GraduationYear,ExtendedDegree,CurrentIndustry,OtherIndustryExpertise,YearsInCurrentPosition,YearsInCompany,CompanyName,Position,HobbiesAndInterests,MBTI,Activities,IsAvailableToBeMatched,Background,MatchedWith,Status
rpkelly@clemson.edu,Richard,Patrick,Kelly,,Male,0,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,0,1,0,0,NO,,,unmatched
steve@clemson.edu,Dennis,Elliott,Stevenson,,Male,8646565880,,8646565880,123 Evergreen Drive,Clemson,South Carolina, ,29631,NO,NO,NO,NO,,,,0,,,,30,32,College of Business and Behavioral Scien,Associate Professor,,,,NO,Art,,unmatched
TempMentor2@nothing.com,,,,,Female,,,,,,,,,NO,YES,NO,NO,,,,0,,,,0,0,,,,,,NO,,"TempMentee@nothing.com,TempMentee2@nothing.com,TempMentee3@nothing.com",unmatched
TempMentor@nothing.com,,,,,Male,,,,,,,,,YES,YES,NO,NO,,,,0,,,,0,0,,,,,,NO,,"TempMentee@nothing.com,TempMentee2@nothing.com",unmatched
Test10@clemson.edu,,,,,,,Fake,,Record,,Non Disclosed,748320185,,NO,NO,NO,NO,,,,0,,,,0,0,,0,1,0,0,NO,,inactive,
Test11@clemson.edu,Harris,Ted,Hopscotch,Ted,Male,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,Tim Timmingsworth,matched
Test12@g.clemson.edu,Fred,m.,Kinsey,,Male,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,,inactive
Test13@clemson.edu,Jeremy,Ken,Jenkins,Ken,Male,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,,inactive
Test14@clemson.edu,Donna,Martha,Smith,,Female,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,"John Doe, Captain Falcon",matched
Test15@clemson.edu,Garret,,vanderbelt,Henry,Male,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,,inactive
Test16@clemson.edu,Test,,Record,Jack,Not Disclosed,,,,,,,,,NO,NO,NO,NO,,,,0,,,,0,0,,,,,,NO,,max power,matched
